fusion_lon,bike_id,type,rental_uris,lon,fusion_lat,is_disabled,lat,name,is_reserved
0,89521f33235746f2122bfb98b192bfa5,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.688726425,0,0,41.967221975,89521f33235746f2122bfb98b192bfa5,0
0,2caf388be866c561dd6892c9dd3c40ab,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.661316,0,0,41.98698016666667,2caf388be866c561dd6892c9dd3c40ab,0
0,8f8ad2c60470d4be5d65b2ed7e9511d8,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.619516611,0,0,41.898565292,8f8ad2c60470d4be5d65b2ed7e9511d8,0
0,a48bc551aebb1dfe10cbe7efc704a804,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.66935783333334,0,0,42.01926533333334,a48bc551aebb1dfe10cbe7efc704a804,0
0,93bd6760d44db1c77692a8a9f0f75aa6,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.669937968,0,0,41.895049453,93bd6760d44db1c77692a8a9f0f75aa6,0
0,cb1732763e1e8ca7946a7019b1fcecd2,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.734969616,0,0,41.803865075,cb1732763e1e8ca7946a7019b1fcecd2,0
0,c1820ded969c5fed6a8bfda8466b7a1d,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.797885,0,0,41.798810833333334,c1820ded969c5fed6a8bfda8466b7a1d,0
0,8c8efdbe86ead80ba70e578cbfbdea4f,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.65224833333333,0,0,41.918534666666666,8c8efdbe86ead80ba70e578cbfbdea4f,0
0,7efafc6bdd00802d7ce98199ead991ea,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.623449445,0,0,41.851023197,7efafc6bdd00802d7ce98199ead991ea,0
0,438473138310510fbdd93f46501ec737,electric_scooter,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.67239483333333,0,0,41.855820666666666,438473138310510fbdd93f46501ec737,0
