num_scooters_available,num_scooters_unavailable,is_installed,legacy_id,num_bikes_available,num_ebikes_available,is_renting,eightd_has_available_keys,num_bikes_disabled,num_docks_available,station_id,is_returning,last_reported,station_status,num_docks_disabled,valet,eightd_active_station_services,num_scooter_spots_available,num_bike_spots_available
0.0,0.0,1,261,4,3,1,False,1,10,a3a965b2-a135-11e9-9cda-0a87ae2ba916,1,1683806860,active,0,,,,
0.0,0.0,1,700,13,2,1,False,0,2,a21de1a5-f5bc-4b50-8a13-aa28b7dcfa95,1,1683806862,active,0,,,,
0.0,1.0,1,26,6,0,1,False,2,22,a3a3e67b-a135-11e9-9cda-0a87ae2ba916,1,1683806863,active,0,,,,
0.0,0.0,1,230,0,0,1,False,2,17,a3a83ba1-a135-11e9-9cda-0a87ae2ba916,1,1683806863,active,0,,,,
9.0,0.0,1,129,6,3,1,False,0,0,a3a5d3bb-a135-11e9-9cda-0a87ae2ba916,1,1683806862,active,0,,,,
0.0,1.0,1,96,0,0,1,False,1,19,a3a52df5-a135-11e9-9cda-0a87ae2ba916,1,1683806868,active,0,,,,
0.0,0.0,1,401,4,2,1,False,0,7,a3ad13e4-a135-11e9-9cda-0a87ae2ba916,1,1683806868,active,0,,,,
0.0,0.0,1,484,11,3,1,False,0,4,a3afb401-a135-11e9-9cda-0a87ae2ba916,1,1683806868,active,0,,,,
1.0,0.0,1,262,5,0,1,False,0,5,a3a96aca-a135-11e9-9cda-0a87ae2ba916,1,1683806868,active,0,,,,
0.0,0.0,1,501,8,1,1,False,0,7,a3b00b3a-a135-11e9-9cda-0a87ae2ba916,1,1683806869,active,0,,,,
0.0,0.0,1,544,6,4,1,False,0,5,a3b1d532-a135-11e9-9cda-0a87ae2ba916,1,1683806869,active,0,,,,
0.0,0.0,1,90011328-f7bd-4b7b-8f95-8204a0b50f27,5,0,1,False,1,5,90011328-f7bd-4b7b-8f95-8204a0b50f27,1,1683806864,active,0,,,,
0.0,0.0,1,474,5,1,1,False,0,10,a3af8123-a135-11e9-9cda-0a87ae2ba916,1,1683806867,active,0,,,,
0.0,0.0,1,28,7,0,1,False,0,8,a3a3f0c6-a135-11e9-9cda-0a87ae2ba916,1,1683806873,active,0,,,,
2.0,1.0,1,16,4,0,1,False,0,7,a3a3b202-a135-11e9-9cda-0a87ae2ba916,1,1683806872,active,0,,,,
0.0,0.0,1,580,8,0,1,False,0,3,a3b2905a-a135-11e9-9cda-0a87ae2ba916,1,1683806876,active,0,,,,
0.0,0.0,1,643,3,0,1,False,0,12,a3b4399a-a135-11e9-9cda-0a87ae2ba916,1,1683806876,active,0,,,,
0.0,0.0,1,353,5,2,1,False,0,10,a3ac3b03-a135-11e9-9cda-0a87ae2ba916,1,1683806874,active,0,,,,
0.0,0.0,1,352,5,2,1,False,0,6,a3ac35ed-a135-11e9-9cda-0a87ae2ba916,1,1683806871,active,0,,,,
3.0,0.0,1,15,8,2,1,False,1,3,a3a3ace6-a135-11e9-9cda-0a87ae2ba916,1,1683806871,active,0,,,,
0.0,0.0,1,563,4,1,1,False,0,7,a3b23785-a135-11e9-9cda-0a87ae2ba916,1,1683806871,active,0,,,,
1.0,0.0,1,237,12,4,1,False,2,4,a3a859c4-a135-11e9-9cda-0a87ae2ba916,1,1683806871,active,0,,,,
0.0,0.0,1,732,15,2,1,False,0,0,ff21c158-de98-46c6-9ef7-7082bdb7c634,1,1683806871,active,0,,,,
0.0,0.0,1,60,1,0,1,False,1,17,a3a497b6-a135-11e9-9cda-0a87ae2ba916,1,1683806871,active,0,,,,
0.0,0.0,1,188,14,3,1,False,0,1,a3a76cb6-a135-11e9-9cda-0a87ae2ba916,1,1683806870,active,0,,,,
4.0,0.0,1,273,15,4,1,False,1,4,a3a99d47-a135-11e9-9cda-0a87ae2ba916,1,1683806885,active,0,,,,
0.0,0.0,1,95,10,1,1,False,0,1,a3a528d0-a135-11e9-9cda-0a87ae2ba916,1,1683806877,active,0,,,,
0.0,0.0,1,323,13,2,1,False,1,5,a3aaa68b-a135-11e9-9cda-0a87ae2ba916,1,1683806877,active,0,,,,
0.0,0.0,1,540,9,2,1,False,0,2,a3b148bf-a135-11e9-9cda-0a87ae2ba916,1,1683806877,active,0,,,,
0.0,0.0,1,486,9,3,1,False,2,3,a3afbe2e-a135-11e9-9cda-0a87ae2ba916,1,1683806881,active,0,,,,
8.0,0.0,1,342,3,1,1,False,0,12,a3ab86b6-a135-11e9-9cda-0a87ae2ba916,1,1683806882,active,0,,,,
0.0,2.0,1,265,7,2,1,False,0,6,a3a97a01-a135-11e9-9cda-0a87ae2ba916,1,1683806882,active,0,,,,
0.0,0.0,1,198,2,2,1,False,1,21,a3a79adb-a135-11e9-9cda-0a87ae2ba916,1,1683806884,active,0,,,,
0.0,0.0,1,525,5,3,1,False,0,9,a3b0fae6-a135-11e9-9cda-0a87ae2ba916,1,1683806884,active,0,,,,
